Gene_Name	Num_Events	APA_ID	Transcript	Gene	Chr	LastExon.Start	LastExon.End	Strand	UTR3.Start	UTR3.End	Length	simB5.PAU	simB4.PAU	simB3.PAU	simB2.PAU	simB1.PAU	simA5.PAU	simA4.PAU	simA3.PAU	simA2.PAU	simA1.PAU
ABCC1	2	ENSG00000103222.20_1_P	L00000399408.7	ENSG00000103222.20	chr16	16141172	16143074	+	16141281	16143074	1793	45.269	26.676	35.838	23.686	40.884	47.517	46.157	47.635	46.128	44.17
ABCC1	2	ENSG00000103222.20_2_D	L00000399408.7	ENSG00000103222.20	chr16	16141172	16144074	+	16141281	16144074	2793	54.731	73.324	64.162	76.314	59.116	52.483	53.843	52.365	53.872	55.83
ABCC10	2	ENSG00000124574.15_1_P	L00000244533.7	ENSG00000124574.15	chr6	43449928	43450425	+	43450091	43450425	334	60.22	56.591	55.214	55.086	56.882	55.638	55.238	58.797	53.148	55.191
ABCC10	2	ENSG00000124574.15_2_D	L00000244533.7	ENSG00000124574.15	chr6	43449928	43451425	+	43450091	43451425	1334	39.78	43.409	44.786	44.914	43.118	44.362	44.762	41.203	46.852	44.809
ABCC3	2	ENSG00000108846.16_1_P	L00000285238.13	ENSG00000108846.16	chr17	50691091	50692253	+	50691200	50692253	1053	27.225	17.704	16.6	21.979	13.568	79.18	85.155	83.048	79.285	81.463
ABCC3	2	ENSG00000108846.16_2_D	L00000285238.13	ENSG00000108846.16	chr17	50691091	50693253	+	50691200	50693253	2053	72.775	82.296	83.4	78.021	86.432	20.82	14.845	16.952	20.715	18.537
ABCG1	2	ENSG00000160179.19_1_P	L00000398437.1	ENSG00000160179.19	chr21	42296163	42297244	+	42296392	42297244	852	58.187	55.292	59.255	46.175	52.843	51.485	57.374	54.867	58.141	56.718
ABCG1	2	ENSG00000160179.19_2_D	L00000398437.1	ENSG00000160179.19	chr21	42296163	42298244	+	42296392	42298244	1852	41.813	44.708	40.745	53.825	47.157	48.515	42.626	45.133	41.859	43.282
ABCG2	2	ENSG00000118777.12_1_D	L00000650821.1	ENSG00000118777.12	chr4	88089149	88092381	-	88089149	88092233	3084	100	100	100	100	100	30.563	46.211	43.356	40.727	39.717
ABCG2	2	ENSG00000118777.12_2_P	L00000650821.1	ENSG00000118777.12	chr4	88090149	88092381	-	88090149	88092233	2084	0	0	0	0	0	69.437	53.789	56.644	59.273	60.283
ABCG5	2	ENSG00000138075.14_1_D	L00000405322.8	ENSG00000138075.14	chr2	43811471	43813309	-	43811471	43813115	1644	57.806	84.734	100	61.567	75.926	14.218	11.794	13.673	14.379	10.988
ABCG5	2	ENSG00000138075.14_2_P	L00000405322.8	ENSG00000138075.14	chr2	43812471	43813309	-	43812471	43813115	644	42.194	15.266	0	38.433	24.074	85.782	88.206	86.327	85.621	89.012
ABHD1	2	ENSG00000143994.14_1_P	L00000316470.9	ENSG00000143994.14	chr2	27130532	27130812	+	27130744	27130812	68	87.176	86.965	85.182	87.816	86.885	61.298	51.021	56.368	51.264	61.035
ABHD1	2	ENSG00000143994.14_2_D	L00000316470.9	ENSG00000143994.14	chr2	27130532	27131812	+	27130744	27131812	1068	12.824	13.035	14.818	12.184	13.115	38.702	48.979	43.632	48.736	38.965
ABHD10	2	ENSG00000144827.9_1_P	L00000273359.8	ENSG00000144827.9	chr3	111991376	111993368	+	111991721	111993368	1647	67.492	69.434	69.46	71.271	68.817	12.855	0	40.008	0	25.224
ABHD10	2	ENSG00000144827.9_2_D	L00000273359.8	ENSG00000144827.9	chr3	111991376	111994368	+	111991721	111994368	2647	32.508	30.566	30.54	28.729	31.183	87.145	100	59.992	100	74.776
ABHD11	2	ENSG00000106077.18_1_D	L00000222800.7	ENSG00000106077.18	chr7	73735093	73736691	-	73735093	73736558	1465	41.385	41.054	42.866	37.998	39.121	42.685	41.263	41.567	40.864	46.085
ABHD11	2	ENSG00000106077.18_2_P	L00000222800.7	ENSG00000106077.18	chr7	73736093	73736691	-	73736093	73736558	465	58.615	58.946	57.134	62.002	60.879	57.315	58.737	58.433	59.136	53.915
ABHD17A	2	ENSG00000129968.17_1_D	L00000676686.1	ENSG00000129968.17	chr19	1875809	1877425	-	1875809	1877199	1390	57.866	57.738	40.357	45.296	39.919	46.175	43.077	40.229	46.762	43.296
ABHD17A	2	ENSG00000129968.17_2_P	L00000676686.1	ENSG00000129968.17	chr19	1876809	1877425	-	1876809	1877199	390	42.134	42.262	59.643	54.704	60.081	53.825	56.923	59.771	53.238	56.704
ABHD17C	2	ENSG00000136379.12_1_P	L00000258884.5	ENSG00000136379.12	chr15	80754150	80755621	+	80754370	80755621	1251	81.439	83.661	83.624	79.557	82.315	10.042	10.067	0	0	0
ABHD17C	2	ENSG00000136379.12_2_D	L00000258884.5	ENSG00000136379.12	chr15	80754150	80756621	+	80754370	80756621	2251	18.561	16.339	16.376	20.443	17.685	89.958	89.933	100	100	100
ABHD2	2	ENSG00000140526.18_1_P	L00000352732.10	ENSG00000140526.18	chr15	89195226	89202355	+	89195423	89202355	6932	32.401	38.262	36.469	35.958	39.334	29.892	26.591	28.54	27.793	24.601
ABHD2	2	ENSG00000140526.18_2_D	L00000352732.10	ENSG00000140526.18	chr15	89195226	89203355	+	89195423	89203355	7932	67.599	61.738	63.531	64.042	60.666	70.108	73.409	71.46	72.207	75.399
ABI3	2	ENSG00000108798.9_1_P	L00000419580.6	ENSG00000108798.9	chr17	49222551	49223036	+	49222715	49223036	321	73.729	77.801	83.775	77.506	77.469	57.748	55.441	58.215	52.034	53.216
ABI3	2	ENSG00000108798.9_2_D	L00000419580.6	ENSG00000108798.9	chr17	49222551	49224036	+	49222715	49224036	1321	26.271	22.199	16.225	22.494	22.531	42.252	44.559	41.785	47.966	46.784
ABI3BP	2	ENSG00000154175.18_1_D	L00000471714.6	ENSG00000154175.18	chr3	100748155	100750610	-	100748155	100750494	2339	51.982	51.344	46.414	51.646	49.85	49.63	47.543	48.821	48.895	48.996
ABI3BP	2	ENSG00000154175.18_2_P	L00000471714.6	ENSG00000154175.18	chr3	100749155	100750610	-	100749155	100750494	1339	48.018	48.656	53.586	48.354	50.15	50.37	52.457	51.179	51.105	51.004
ABITRAM	2	ENSG00000119328.12_1_P	L00000322940.11	ENSG00000119328.12	chr9	108939548	108940954	+	108939686	108940954	1268	0	14.265	0	15.525	0	69.202	68.869	68.495	67.98	70.004
ABITRAM	2	ENSG00000119328.12_2_D	L00000322940.11	ENSG00000119328.12	chr9	108939548	108941954	+	108939686	108941954	2268	100	85.735	100	84.475	100	30.798	31.131	31.505	32.02	29.996
ABRAXAS1	2	ENSG00000163322.14_1_D	L00000321945.12	ENSG00000163322.14	chr4	83458516	83462902	-	83458516	83462468	3952	54.943	56.316	54.448	55.901	54.853	51.009	53.373	63.561	62.25	50.139
ABRAXAS1	2	ENSG00000163322.14_2_P	L00000321945.12	ENSG00000163322.14	chr4	83459516	83462902	-	83459516	83462468	2952	45.057	43.684	45.552	44.099	45.147	48.991	46.627	36.439	37.75	49.861
ABRAXAS2	2	ENSG00000165660.8_1_P	L00000298492.6	ENSG00000165660.8	chr10	124834501	124836667	+	124834971	124836667	1696	50.566	43.253	43.366	43.044	48.601	46.44	44.986	42.908	48.088	43.777
ABRAXAS2	2	ENSG00000165660.8_2_D	L00000298492.6	ENSG00000165660.8	chr10	124834501	124837667	+	124834971	124837667	2696	49.434	56.747	56.634	56.956	51.399	53.56	55.014	57.092	51.912	56.223
AC005551.1	1	ENSG00000284638.1_1_S	L00000641816.1	ENSG00000284638.1	chr19	3481803	3483051	-	3481803	3482803	1000	100	100	100	100	100	100	100	100	100	100
AC011005.1	2	ENSG00000230626.4_1_P	L00000467614.2	ENSG00000230626.4	chr7	129130646	129130793	+	129130748	129130793	45	73.876	73.003	64.788	69.375	72.648	71.893	60.095	48.262	74.045	80.947
AC011005.1	2	ENSG00000230626.4_2_D	L00000467614.2	ENSG00000230626.4	chr7	129130646	129131793	+	129130748	129131793	1045	26.124	26.997	35.212	30.625	27.352	28.107	39.905	51.738	25.955	19.053
AC138969.1	2	ENSG00000183889.12_1_P	L00000381497.6	ENSG00000183889.12	chr16	16350091	16350590	+	16350559	16350590	31	0	0	0	0	0	0	0	0	76.87	0
AC138969.1	2	ENSG00000183889.12_2_D	L00000381497.6	ENSG00000183889.12	chr16	16350091	16351590	+	16350559	16351590	1031	100	100	100	100	100	100	100	100	23.13	100
AC231656.1	2	ENSG00000287585.1_1_D	L00000653668.1	ENSG00000287585.1	chrX	149413885	149415146	-	149413885	149415005	1120	29.59	29.191	29.117	29.33	29.682	26.611	24.493	41.058	21.589	30.344
AC231656.1	2	ENSG00000287585.1_2_P	L00000653668.1	ENSG00000287585.1	chrX	149414885	149415146	-	149414885	149415005	120	70.41	70.809	70.883	70.67	70.318	73.389	75.507	58.942	78.411	69.656
ACACA	2	ENSG00000278540.5_1_D	L00000616317.5	ENSG00000278540.5	chr17	37083991	37087439	-	37083991	37087315	3324	16.024	16.94	15.838	16.239	14.419	93.685	92.184	86.572	86.566	87.666
ACACA	2	ENSG00000278540.5_2_P	L00000616317.5	ENSG00000278540.5	chr17	37084991	37087439	-	37084991	37087315	2324	83.976	83.06	84.162	83.761	85.581	6.315	7.816	13.428	13.434	12.334
ACADVL	2	ENSG00000072778.20_1_P	L00000543245.6	ENSG00000072778.20	chr17	7224956	7225266	+	7225097	7225266	169	77.2	69.764	69.494	75.842	70.35	73.154	70.761	73.219	70.256	70.703
ACADVL	2	ENSG00000072778.20_2_D	L00000543245.6	ENSG00000072778.20	chr17	7224956	7226266	+	7225097	7226266	1169	22.8	30.236	30.506	24.158	29.65	26.846	29.239	26.781	29.744	29.297
ACAT2	2	ENSG00000120437.9_1_P	L00000367048.5	ENSG00000120437.9	chr6	159778658	159779112	+	159778829	159779112	283	68.464	67.583	73.014	66.383	66.698	61.835	73.568	70.299	70.757	68.94
ACAT2	2	ENSG00000120437.9_2_D	L00000367048.5	ENSG00000120437.9	chr6	159778658	159780112	+	159778829	159780112	1283	31.536	32.417	26.986	33.617	33.302	38.165	26.432	29.701	29.243	31.06
ACBD7	2	ENSG00000176244.7_1_D	L00000356189.6	ENSG00000176244.7	chr10	15074474	15078603	-	15074474	15078529	4055	53.776	52.922	53.746	50.512	52.236	51.138	54.271	51.776	52.078	52.674
ACBD7	2	ENSG00000176244.7_2_P	L00000356189.6	ENSG00000176244.7	chr10	15075474	15078603	-	15075474	15078529	3055	46.224	47.078	46.254	49.488	47.764	48.862	45.729	48.224	47.922	47.326
ACCS	2	ENSG00000110455.14_1_P	L00000263776.9	ENSG00000110455.14	chr11	44083694	44084237	+	44083792	44084237	445	89.621	90.353	90.285	90.858	91.356	40.663	40.085	36.358	44.763	43.28
ACCS	2	ENSG00000110455.14_2_D	L00000263776.9	ENSG00000110455.14	chr11	44083694	44085237	+	44083792	44085237	1445	10.379	9.647	9.715	9.142	8.644	59.337	59.915	63.642	55.237	56.72
ACER1	2	ENSG00000167769.5_1_D	L00000301452.5	ENSG00000167769.5	chr19	6305141	6306882	-	6305141	6306713	1572	22.538	22.836	24.543	22.969	24.21	65.794	67.999	67.876	65.79	67.555
ACER1	2	ENSG00000167769.5_2_P	L00000301452.5	ENSG00000167769.5	chr19	6306141	6306882	-	6306141	6306713	572	77.462	77.164	75.457	77.031	75.79	34.206	32.001	32.124	34.21	32.445
ACKR3	2	ENSG00000144476.6_1_P	L00000272928.4	ENSG00000144476.6	chr2	236580439	236582354	+	236581554	236582354	800	5.996	12.627	20.477	8.917	10.84	80.022	86.757	80.991	83.221	76.305
ACKR3	2	ENSG00000144476.6_2_D	L00000272928.4	ENSG00000144476.6	chr2	236580439	236583354	+	236581554	236583354	1800	94.004	87.373	79.523	91.083	89.16	19.978	13.243	19.009	16.779	23.695
ACOT12	2	ENSG00000172497.9_1_D	L00000307624.8	ENSG00000172497.9	chr5	81328995	81330543	-	81328995	81330393	1398	37.559	33.8	33.162	39.356	34.611	34.54	30.868	32.027	32.566	36.702
ACOT12	2	ENSG00000172497.9_2_P	L00000307624.8	ENSG00000172497.9	chr5	81329995	81330543	-	81329995	81330393	398	62.441	66.2	66.838	60.644	65.389	65.46	69.132	67.973	67.434	63.298
ACOT2	2	ENSG00000119673.15_1_P	L00000238651.10	ENSG00000119673.15	chr14	73574907	73575655	+	73575513	73575655	142	77.067	74.001	75.981	75.068	78.088	36.612	39.01	43.251	36.445	40.704
ACOT2	2	ENSG00000119673.15_2_D	L00000238651.10	ENSG00000119673.15	chr14	73574907	73576655	+	73575513	73576655	1142	22.933	25.999	24.019	24.932	21.912	63.388	60.99	56.749	63.555	59.296
ACP3	2	ENSG00000014257.16_1_P	L00000336375.10	ENSG00000014257.16	chr3	132356685	132358841	+	132356878	132358841	1963	41.263	43.955	53.229	43.345	48.414	36.24	32.877	38.152	33.41	42.08
ACP3	2	ENSG00000014257.16_2_D	L00000336375.10	ENSG00000014257.16	chr3	132356685	132359841	+	132356878	132359841	2963	58.737	56.045	46.771	56.655	51.586	63.76	67.123	61.848	66.59	57.92
ACP4	2	ENSG00000142513.6_1_P	L00000270593.2	ENSG00000142513.6	chr19	50795042	50795219	+	50795158	50795219	61	76.841	75.74	67.725	74.201	75.756	76.844	73.04	78.518	74.855	72.337
ACP4	2	ENSG00000142513.6_2_D	L00000270593.2	ENSG00000142513.6	chr19	50795042	50796219	+	50795158	50796219	1061	23.159	24.26	32.275	25.799	24.244	23.156	26.96	21.482	25.145	27.663
ACR	2	ENSG00000100312.11_1_P	L00000216139.10	ENSG00000100312.11	chr22	50744652	50745339	+	50745207	50745339	132	47.274	43.678	47.867	45.272	46.023	87.758	88.453	86.437	86.789	85.052
ACR	2	ENSG00000100312.11_2_D	L00000216139.10	ENSG00000100312.11	chr22	50744652	50746339	+	50745207	50746339	1132	52.726	56.322	52.133	54.728	53.977	12.242	11.547	13.563	13.211	14.948
ACRV1	2	ENSG00000134940.14_1_D	L00000533904.6	ENSG00000134940.14	chr11	125670521	125672717	-	125670521	125672592	2071	70.724	71.398	66.551	65.438	72.401	38.907	38.154	36.786	37.147	36.717
ACRV1	2	ENSG00000134940.14_2_P	L00000533904.6	ENSG00000134940.14	chr11	125671521	125672717	-	125671521	125672592	1071	29.276	28.602	33.449	34.562	27.599	61.093	61.846	63.214	62.853	63.283
ACSM4	2	ENSG00000215009.5_1_P	L00000399422.4	ENSG00000215009.5	chr12	7328286	7328724	+	7328373	7328724	351	84.168	88.512	93.202	85.746	88.239	54.484	54.667	46.382	50.197	57.577
ACSM4	2	ENSG00000215009.5_2_D	L00000399422.4	ENSG00000215009.5	chr12	7328286	7329724	+	7328373	7329724	1351	15.832	11.488	6.798	14.254	11.761	45.516	45.333	53.618	49.803	42.423
ACSS1	2	ENSG00000154930.15_1_D	L00000323482.9	ENSG00000154930.15	chr20	25005236	25007941	-	25005236	25007761	2525	49.168	48.77	54.959	53.452	49.16	54.061	54.213	59.368	52.292	50.918
ACSS1	2	ENSG00000154930.15_2_P	L00000323482.9	ENSG00000154930.15	chr20	25006236	25007941	-	25006236	25007761	1525	50.832	51.23	45.041	46.548	50.84	45.939	45.787	40.632	47.708	49.082
ACSS3	2	ENSG00000111058.8_1_P	L00000548058.6	ENSG00000111058.8	chr12	81254856	81261210	+	81254922	81261210	6288	38.917	45.236	45.039	37.152	32.266	42.07	42.914	38.982	41.744	41.65
ACSS3	2	ENSG00000111058.8_2_D	L00000548058.6	ENSG00000111058.8	chr12	81254856	81262210	+	81254922	81262210	7288	61.083	54.764	54.961	62.848	67.734	57.93	57.086	61.018	58.256	58.35
ACTB	2	ENSG00000075624.17_1_D	L00000674681.1	ENSG00000075624.17	chr7	5525408	5527891	-	5525408	5527747	2339	21.871	23.117	22.261	23.665	26.71	79.077	80.386	71.308	75.361	81.038
ACTB	2	ENSG00000075624.17_2_P	L00000674681.1	ENSG00000075624.17	chr7	5526408	5527891	-	5526408	5527747	1339	78.129	76.883	77.739	76.335	73.29	20.923	19.614	28.692	24.639	18.962
ACTBL2	2	ENSG00000169067.4_1_D	L00000423391.3	ENSG00000169067.4	chr5	57479017	57482811	-	57479017	57481576	2559	54.335	46.977	53.72	53.02	61.062	53.279	62.885	50.397	58.01	47.367
ACTBL2	2	ENSG00000169067.4_2_P	L00000423391.3	ENSG00000169067.4	chr5	57480017	57482811	-	57480017	57481576	1559	45.665	53.023	46.28	46.98	38.938	46.721	37.115	49.603	41.99	52.633
ACTC1	2	ENSG00000159251.8_1_D	L00000290378.6	ENSG00000159251.8	chr15	34789229	34790555	-	34789229	34790411	1182	24.184	19.338	27.152	25.522	28.147	26.16	24.022	24.78	24.252	23.87
ACTC1	2	ENSG00000159251.8_2_P	L00000290378.6	ENSG00000159251.8	chr15	34790229	34790555	-	34790229	34790411	182	75.816	80.662	72.848	74.478	71.853	73.84	75.978	75.22	75.748	76.13
ACTL8	2	ENSG00000117148.8_1_P	L00000375406.2	ENSG00000117148.8	chr1	17825766	17827063	+	17826519	17827063	544	27.908	27.806	28.66	23.898	27.435	83.221	83.177	82.406	84.022	83.53
ACTL8	2	ENSG00000117148.8_2_D	L00000375406.2	ENSG00000117148.8	chr1	17825766	17828063	+	17826519	17828063	1544	72.092	72.194	71.34	76.102	72.565	16.779	16.823	17.594	15.978	16.47
ACTN2	2	ENSG00000077522.14_1_P	L00000366578.6	ENSG00000077522.14	chr1	236762460	236764631	+	236762619	236764631	2012	47.075	59.977	42.219	45.98	46.898	47.932	52.222	48.373	53.581	46.386
ACTN2	2	ENSG00000077522.14_2_D	L00000366578.6	ENSG00000077522.14	chr1	236762460	236765631	+	236762619	236765631	3012	52.925	40.023	57.781	54.02	53.102	52.068	47.778	51.627	46.419	53.614
ACTR1B	2	ENSG00000115073.8_1_D	L00000289228.7	ENSG00000115073.8	chr2	97654938	97656960	-	97654938	97656857	1919	53.284	55.952	40.744	48.697	42.603	47.739	47.279	47.593	54.863	47.679
ACTR1B	2	ENSG00000115073.8_2_P	L00000289228.7	ENSG00000115073.8	chr2	97655938	97656960	-	97655938	97656857	919	46.716	44.048	59.256	51.303	57.397	52.261	52.721	52.407	45.137	52.321
ACTR3C	2	ENSG00000106526.10_1_D	L00000478393.5	ENSG00000106526.10	chr7	150242915	150249054	-	150242915	150248985	6070	17.572	18.216	23.384	19.267	22.238	95.036	100	93.263	87.521	87.495
ACTR3C	2	ENSG00000106526.10_2_P	L00000478393.5	ENSG00000106526.10	chr7	150243915	150249054	-	150243915	150248985	5070	82.428	81.784	76.616	80.733	77.762	4.964	0	6.737	12.479	12.505
ACTRT1	2	ENSG00000123165.8_1_D	L00000371124.4	ENSG00000123165.8	chrX	128049961	128052398	-	128049961	128051075	1114	19.156	20.355	16.656	19.397	17.362	78.294	75.983	81.079	77.609	77.015
ACTRT1	2	ENSG00000123165.8_2_P	L00000371124.4	ENSG00000123165.8	chrX	128050961	128052398	-	128050961	128051075	114	80.844	79.645	83.344	80.603	82.638	21.706	24.017	18.921	22.391	22.985
ACTRT3	2	ENSG00000184378.3_1_D	L00000330368.3	ENSG00000184378.3	chr3	169765920	169768350	-	169765920	169767431	1511	53.966	49.147	47.941	54.976	52.784	56.943	62.425	44.03	54.13	59.737
ACTRT3	2	ENSG00000184378.3_2_P	L00000330368.3	ENSG00000184378.3	chr3	169766920	169768350	-	169766920	169767431	511	46.034	50.853	52.059	45.024	47.216	43.057	37.575	55.97	45.87	40.263
ACVR1B	2	ENSG00000135503.13_1_P	L00000257963.9	ENSG00000135503.13	chr12	51993984	51997078	+	51994110	51997078	2968	13.871	15.268	11.905	14.055	16.395	80.207	77.587	80.446	79.836	80.168
ACVR1B	2	ENSG00000135503.13_2_D	L00000257963.9	ENSG00000135503.13	chr12	51993984	51998078	+	51994110	51998078	3968	86.129	84.732	88.095	85.945	83.605	19.793	22.413	19.554	20.164	19.832
ACVR1C	2	ENSG00000123612.16_1_D	L00000243349.13	ENSG00000123612.16	chr2	157525766	157534043	-	157525766	157533917	8151	86.552	85.377	84.369	83.91	82.345	16.354	13.953	15.252	13.092	17.586
ACVR1C	2	ENSG00000123612.16_2_P	L00000243349.13	ENSG00000123612.16	chr2	157526766	157534043	-	157526766	157533917	7151	13.448	14.623	15.631	16.09	17.655	83.646	86.047	84.748	86.908	82.414
ACVR2B	2	ENSG00000114739.14_1_P	L00000352511.5	ENSG00000114739.14	chr3	38483137	38493142	+	38483332	38493142	9810	0.993	0	3.061	0.956	3.458	78.276	81.392	81.098	79.337	80.102
ACVR2B	2	ENSG00000114739.14_2_D	L00000352511.5	ENSG00000114739.14	chr3	38483137	38494142	+	38483332	38494142	10810	99.007	100	96.939	99.044	96.542	21.724	18.608	18.902	20.663	19.898
ACY1	2	ENSG00000243989.9_1_P	L00000404366.7	ENSG00000243989.9	chr3	51988910	51989195	+	51989075	51989195	120	81.875	81.866	82.419	80.679	78.819	56.066	62.992	59.559	59.162	60.153
ACY1	2	ENSG00000243989.9_2_D	L00000404366.7	ENSG00000243989.9	chr3	51988910	51990195	+	51989075	51990195	1120	18.125	18.134	17.581	19.321	21.181	43.934	37.008	40.441	40.838	39.847
ACY3	2	ENSG00000132744.8_1_D	L00000255082.8	ENSG00000132744.8	chr11	67641554	67642939	-	67641554	67642723	1169	26.061	26.682	24.085	25	26.762	28.21	23.371	23.771	35.342	25.057
ACY3	2	ENSG00000132744.8_2_P	L00000255082.8	ENSG00000132744.8	chr11	67642554	67642939	-	67642554	67642723	169	73.939	73.318	75.915	75	73.238	71.79	76.629	76.229	64.658	74.943
ACYP1	2	ENSG00000119640.9_1_D	L00000555463.1	ENSG00000119640.9	chr14	75052236	75053659	-	75052236	75053443	1207	50.101	51.935	48.077	46.613	49.247	14.041	11.078	12.066	13.253	11.184
ACYP1	2	ENSG00000119640.9_2_P	L00000555463.1	ENSG00000119640.9	chr14	75053236	75053659	-	75053236	75053443	207	49.899	48.065	51.923	53.387	50.753	85.959	88.922	87.934	86.747	88.816
